id,off_start_day,off_start_time,off_end_day,off_end_time
28,57,1,82,24
29,48,1,50,5
29,55,1,57,6
29,95,1,100,24
29,187,1,191,24
29,251,1,260,24
29,333,1,337,9
30,69,1,74,24
30,157,1,169,24
30,263,1,367,24
31,17,1,29,24
31,86,1,151,24
31,186,1,193,24
31,305,1,310,24
32,1,1,548,12
32,1,1,548,12
42,57,1,172,24
43,92,1,101,24
43,286,1,288,24
43,335,1,337,24
43,342,1,344,24
44,1,1,457,12
44,71,1,104,24
44,288,1,295,24
45,1,1,426,24
45,65,1,69,24
45,120,1,166,24
45,278,1,281,24
45,332,19,336,19
46,69,1,71,24
46,113,1,181,24
46,120,1,153,24
46,155,1,162,24
46,223,1,223,18
46,232,1,351,24
46,272,1,274,24
46,327,1,337,24
47,1,1,6,24
47,69,1,71,24
47,101,1,106,24
47,157,1,162,24
47,162,1,169,24
47,167,1,172,24
47,267,1,298,24
47,302,1,309,24
47,337,1,344,24
52,69,1,163,24
52,201,1,209,24
52,318,6,333,6
53,3,1,7,24
53,29,1,40,24
53,83,1,92,24
53,120,1,142,12
53,203,1,204,5
53,258,1,263,24
53,272,1,293,24
54,57,1,71,24
54,69,1,71,24
54,76,1,78,24
54,76,1,78,24
54,83,1,85,24
54,83,1,85,24
54,90,1,92,24
54,90,1,92,24
54,113,1,132,24
54,146,1,190,24
54,181,1,192,24
54,296,1,302,24
54,302,1,311,24
55,57,1,71,24
55,72,1,151,24
55,76,1,78,24
55,83,1,85,24
55,90,1,92,24
55,132,1,133,15
55,281,1,303,24
56,8,1,11,24
56,36,1,71,24
56,57,1,71,24
56,76,1,78,24
56,76,1,78,24
56,83,1,85,24
56,83,1,85,24
56,90,1,92,24
56,90,1,92,24
56,151,9,158,24
56,157,9,162,24
56,245,1,548,24
56,336,1,640,24
57,78,1,173,24
57,175,9,185,24
57,281,1,311,24
57,286,1,287,24
57,300,1,307,24
57,341,1,344,24
60,1,1,10,24
60,92,1,202,24
64,117,1,167,24
74,145,1,160,24
75,47,1,48,18
75,68,1,145,24
75,281,1,291,24
76,19,1,162,24
76,73,1,80,24
76,167,1,168,24
76,196,1,197,24
76,236,21,239,12
76,258,1,263,24
76,330,1,335,24
76,341,1,344,24
77,69,1,71,24
77,69,1,71,24
77,76,1,78,24
77,76,1,78,24
77,83,1,85,24
77,83,1,85,24
77,90,1,92,24
77,90,1,92,24
77,104,1,116,24
77,110,1,113,24
77,159,1,169,24
77,263,1,274,24
77,323,18,328,6
78,41,1,48,24
78,102,1,133,24
78,152,1,153,24
78,153,1,162,24
78,168,1,171,24
78,180,21,193,24
78,195,1,197,24
78,271,1,336,24
78,336,1,339,8
81,34,1,48,24
81,67,1,81,24
81,108,1,178,24
81,288,1,293,24
81,311,1,337,24
94,3,19,11,24
94,20,1,22,24
94,32,1,35,24
94,55,1,63,24
94,63,1,121,24
94,134,1,178,4
94,209,1,212,24
94,214,18,218,12
94,228,1,232,24
94,281,1,286,24
94,292,1,334,24
115,28,1,31,24
115,57,1,71,24
115,73,1,80,24
115,83,1,85,24
115,90,1,92,24
115,117,1,120,24
115,155,1,197,24
115,250,20,253,7
116,57,1,71,24
116,76,1,78,24
116,83,1,85,24
116,90,1,92,24
116,97,1,102,24
116,257,1,352,24
117,35,1,37,24
117,102,1,106,24
117,108,1,188,24
117,271,1,285,24
118,19,1,22,24
118,23,1,27,24
118,71,1,151,24
119,33,1,40,24
119,51,1,92,24
119,272,1,302,24
119,286,1,312,24
120,66,1,153,24
120,134,1,167,24
120,307,1,330,24
121,69,1,71,24
121,76,1,78,24
121,83,1,85,24
121,90,1,92,24
121,139,1,148,24
121,152,1,156,24
121,309,1,335,24
122,2,1,6,24
122,69,1,71,24
122,69,1,71,24
122,76,1,78,24
122,82,1,111,24
122,83,1,85,24
122,116,1,122,24
122,251,1,355,24
122,275,1,286,24
